Gene,Log2FoldChange,pvalue
NAT9,0.3,3.98E-03
GAS6,-0.53,3.99E-03
ETF1,0.17,3.99E-03
KLF1,-0.39,4.02E-03
IGFBP1,0.9,4.03E-03
WDR7,-0.25,4.03E-03
ATP6V1H,0.26,4.05E-03
FRK,-0.46,4.05E-03
ADAM15,-0.36,4.06E-03
MBD2,0.18,4.06E-03
CCPG1,-0.33,4.07E-03
DPP9,-0.2,4.08E-03
TOMM22,0.2,4.08E-03
GABPB1,0.17,4.08E-03
MAPKAPK2,-0.24,4.08E-03
FHL3,0.36,4.11E-03
CHST7,-0.5,4.11E-03
RGS6,-0.49,4.11E-03
OR12D2,0.66,4.12E-03
SIGLEC7,0.55,4.12E-03
RGMA,-0.52,4.13E-03
CTNNAL1,0.39,4.13E-03
SUV39H2,0.28,4.14E-03
CCDC177,-0.85,4.15E-03
RD3,-0.16,4.15E-03
CBR4,-0.35,4.15E-03
GSR,0.39,4.17E-03
FN3K,-0.36,4.20E-03
CLCNKB,-0.36,4.21E-03
CD320,0.32,4.23E-03
RASL10B,1.21,4.24E-03
RPF2,0.33,4.24E-03
CTSC,0.46,4.24E-03
SPTBN4,-0.65,4.25E-03
SLC2A4,-0.64,4.26E-03
ACVR1B,-0.32,4.26E-03
IGBP1,0.25,4.26E-03
CXORF66,-0.42,4.27E-03
RPL13,0.37,4.27E-03
SHE,-0.56,4.27E-03
BEND3,0.45,4.27E-03
TPT1,0.27,4.27E-03
HSF2BP,0.55,4.28E-03
TPRKB,0.24,4.29E-03
SGK2,-0.44,4.30E-03
SUSD2,-0.75,4.31E-03
EIF4ENIF1,0.19,4.33E-03
THOC7,0.21,4.33E-03
PNPLA7,-0.6,4.34E-03
IGFL4,-0.06,4.35E-03
RPL9,0.76,4.35E-03
MGAT1,-0.17,4.36E-03
MYO1E,-0.48,4.37E-03
DCX,-0.65,4.37E-03
NCBP1,0.18,4.38E-03
BAALC,-0.6,4.38E-03
ADAMTS17,-0.87,4.39E-03
HCG18,0.32,4.40E-03
HMGB3,-0.59,4.40E-03
ADGRE5,0.51,4.41E-03
PSMG4,0.32,4.41E-03
YRDC,0.23,4.41E-03
ULK4P2,-0.17,4.42E-03
POLR2K,0.28,4.43E-03
RBM3,0.27,4.43E-03
DNASE1L1,-0.29,4.45E-03
ZNF34,0.26,4.45E-03
OGN,-1.15,4.45E-03
COA7,0.27,4.45E-03
R3HDM2,-0.21,4.47E-03
MDS2,0.3,4.47E-03
CLDN7,-0.83,4.48E-03
CLDN14,-0.6,4.49E-03
ELF3,0.55,4.50E-03
PGR,-0.74,4.51E-03
CFAP298,0.21,4.51E-03
NDUFA5,-0.26,4.51E-03
ARHGAP36,-0.39,4.54E-03
FAM86B3P,0.44,4.54E-03
NT5C3A,0.31,4.55E-03
FAP,-0.89,4.55E-03
MRPL41,-0.37,4.55E-03
PGLYRP2,-1.33,4.56E-03
SMNDC1,0.18,4.57E-03
FNBP1,0.23,4.58E-03
ATF4,0.24,4.59E-03
ZMIZ1-AS1,-0.49,4.60E-03
INKA1,-0.39,4.61E-03
INTS12,0.2,4.61E-03
POLE3,0.18,4.62E-03
MT1G,1.32,4.63E-03
SEPHS2,-0.33,4.63E-03
EEF2,0.23,4.64E-03
VPS28,0.34,4.66E-03
GEMIN6,0.28,4.67E-03
GLUD2,0.57,4.68E-03
DIO2,-1.04,4.69E-03
PRIM1,0.41,4.70E-03
HOXB13,-0.7,4.71E-03
NT5C,0.31,4.71E-03
LARP1,0.22,4.72E-03
TMEM134,-0.25,4.72E-03
OR52N1,-0.09,4.72E-03
RPSAP9,0.3,4.72E-03
NDUFB9,0.33,4.72E-03
SMYD2,0.37,4.73E-03
FAM3B,1.43,4.73E-03
FKBP1A,0.22,4.78E-03
PDE6C,-0.42,4.79E-03
C17ORF107,-0.52,4.79E-03
NRIP2,-0.39,4.80E-03
CLN3,-0.28,4.81E-03
TRIM78P,-0.42,4.81E-03
HNRNPA1,0.28,4.81E-03
SPATA31E1,-0.12,4.82E-03
SMARCAL1,0.18,4.83E-03
KIF9,0.29,4.84E-03
STK31,-0.53,4.84E-03
TMEM25,-0.74,4.84E-03
SNX16,0.26,4.85E-03
TPSAB1,-0.97,4.87E-03
NOVA2,-0.31,4.88E-03
CRLF3,0.25,4.88E-03
OCM,-0.25,4.89E-03
SLC22A17,-0.93,4.89E-03
PGA3,0.57,4.90E-03
DNMT3A,0.37,4.90E-03
CGREF1,0.74,4.91E-03
GNPTG,-0.3,4.93E-03
MAFG,0.38,4.97E-03
CASP9,-0.27,4.98E-03
SRI,0.41,4.98E-03
RPS21,0.41,5.00E-03
IDI2,0.29,5.00E-03
COL6A1,-0.6,5.00E-03
DGKQ,-0.29,5.00E-03
UBLCP1,0.22,5.01E-03
GLA,0.38,5.01E-03
GSK3B,-0.19,5.03E-03
SLC39A9,-0.19,5.03E-03
ZDHHC6,-0.21,5.05E-03
GCSAML,-0.36,5.05E-03
CDX1,-0.44,5.05E-03
PAX8,0.53,5.07E-03
GDI2,0.17,5.07E-03
SDC1,-0.41,5.08E-03
SHD,-1.05,5.09E-03
CADM1,-0.45,5.10E-03
ZCCHC3,0.29,5.11E-03
ZNF250,0.28,5.11E-03
HTR1D,1.08,5.12E-03
DHX15,0.21,5.12E-03
PCDHAC1,-0.59,5.12E-03
RBFA,0.25,5.14E-03
UGT1A1,0.92,5.16E-03
LBX2-AS1,-0.32,5.17E-03
ELP3,0.24,5.17E-03
TRIOBP,-0.22,5.17E-03
MPZL1,0.32,5.17E-03
TDRG1,-0.24,5.19E-03
DNAH12,0.9,5.19E-03
ZNF436,-0.29,5.20E-03
NECAB1,0.77,5.21E-03
MTIF2,0.15,5.21E-03
CWC22,0.18,5.22E-03
TRIP6,0.34,5.23E-03
MAMLD1,-0.65,5.24E-03
TPSB2,-1,5.24E-03
FRAT1,-0.32,5.25E-03
ANKRD2,0.69,5.25E-03
NME6,0.24,5.26E-03
ARMC3,0.55,5.27E-03
UPK1A,0.87,5.27E-03
ZNF575,-0.23,5.28E-03
NUTM2A-AS1,0.27,5.29E-03
DCAF16,0.35,5.30E-03
NUPR2,-0.16,5.30E-03
EIF3F,0.25,5.31E-03
DOK7,-0.93,5.32E-03
MYADM,0.41,5.33E-03
KRTAP5-2,-0.61,5.34E-03
SLX4,-0.28,5.35E-03
ARMC1,0.25,5.36E-03
CNBP,0.15,5.37E-03
ZNF629,-0.3,5.37E-03
TMCC3,-0.44,5.37E-03
RCN1,0.35,5.38E-03
VDAC1,0.2,5.39E-03
HERC2,-0.2,5.39E-03
CNST,-0.24,5.40E-03
HNRNPA1P33,0.3,5.43E-03
FBXO46,0.35,5.43E-03
FRMD1,0.77,5.44E-03
KSR2,-0.55,5.46E-03
SLC30A4,-0.69,5.46E-03
GALNT16,-0.76,5.47E-03
MSS51,0.37,5.47E-03
CDKN1A,-0.59,5.47E-03
KIAA0513,-0.36,5.50E-03
PDZD9,-0.2,5.54E-03
ZNF362,-0.22,5.58E-03
METTL25,0.22,5.58E-03
ZNF707,0.26,5.58E-03
NUMA1,-0.19,5.59E-03
ARHGEF9,-0.24,5.59E-03
NFXL1,0.36,5.60E-03
ELP2,0.2,5.61E-03
WDCP,0.22,5.61E-03
TTC39C,-0.45,5.61E-03
MGAT4C,-0.74,5.62E-03
ANO3,-0.81,5.63E-03
MC1R,-0.55,5.64E-03
CUL9,-0.22,5.64E-03
WRN,0.37,5.66E-03
TUBD1,0.26,5.67E-03
CREG1,-0.41,5.67E-03
HLA-F,-0.54,5.68E-03
GK5,-0.29,5.69E-03
KLRG1,0.41,5.70E-03
GALNT11,-0.21,5.71E-03
OTUD6B,0.32,5.72E-03
SERPINA13P,0.35,5.72E-03
SAMD5,-1.1,5.73E-03
RNASE13,-0.4,5.75E-03
ZFPM1,-0.44,5.79E-03
PRSS50,0.75,5.80E-03
BPGM,-0.19,5.80E-03
CHCHD7,0.31,5.81E-03
SLC49A4,-0.21,5.81E-03
CCDC158,-0.61,5.82E-03
URM1,0.22,5.83E-03
FKBP4,0.28,5.84E-03
MIX23,0.25,5.85E-03
FAM149A,-0.58,5.85E-03
NSRP1,0.17,5.86E-03
KLHL29,-0.83,5.86E-03
GPR1,-0.49,5.86E-03
PHLDA1,0.54,5.87E-03
HCK,0.51,5.90E-03
GPR37,-1.08,5.91E-03
ZDHHC14,-0.31,5.92E-03
KIF22,-0.28,5.92E-03
RETREG1,-1.19,5.93E-03
DALRD3,0.21,5.93E-03
PRR7,0.54,5.93E-03
SLC39A5,1.08,5.93E-03
MCMBP,0.19,5.94E-03
HOXA13,-1.06,5.96E-03
CCDC63,-0.07,5.97E-03
RPS11,0.32,5.98E-03
USP2,-0.53,5.98E-03
NTMT1,0.25,5.98E-03
ABCB8,-0.26,5.99E-03
SOX4,0.66,5.99E-03
AMIGO3,-0.32,6.01E-03
B4GALT3,0.21,6.04E-03
KLK12,-0.07,6.06E-03
HMGN4,0.22,6.06E-03
MFAP3L,-0.87,6.07E-03
PPP1CC,0.2,6.08E-03
NAA25,0.24,6.09E-03
CHRNA4,-1.33,6.09E-03
MCF2L,-0.42,6.10E-03
ZNF646,-0.22,6.11E-03
TTTY6,-0.07,6.13E-03
PRRG4,-0.51,6.13E-03
NIN,-0.31,6.14E-03
CSF3R,0.72,6.15E-03
CCAR1,0.22,6.17E-03
RBM15B,0.16,6.17E-03
CCDC33,-0.12,6.18E-03
TCEA1,0.26,6.18E-03
EGFL7,-0.39,6.19E-03
PDE4D,0.56,6.21E-03
NUP210L,-0.23,6.21E-03
COL5A3,-0.75,6.22E-03
CYB5D2,-0.34,6.22E-03
RNF14,-0.15,6.25E-03
CMC4,-0.32,6.26E-03
SDAD1,0.2,6.27E-03
C16ORF74,-0.6,6.27E-03
FAM182A,-0.28,6.29E-03
TIGD5,0.35,6.29E-03
ZNF207,0.16,6.30E-03
MYO15B,-0.48,6.30E-03
UNC13B,-0.31,6.32E-03
CCL20,1.17,6.33E-03
RHCE,-0.8,6.34E-03
CPEB2,-0.39,6.34E-03
STON1-GTF2A1L,-0.23,6.35E-03
CD300A,0.48,6.36E-03
LTF,-0.72,6.36E-03
CCNB3,0.43,6.37E-03
TTLL10,-0.24,6.37E-03
SMO,-0.45,6.37E-03
TNFSF11,0.85,6.37E-03
METRN,-0.73,6.37E-03
HLA-DQA2,0.79,6.38E-03
LINC02159,-0.64,6.39E-03
OR56B1,-0.09,6.40E-03
EEPD1,-0.28,6.40E-03
RBMS1,0.42,6.41E-03
ERICH1,0.3,6.42E-03
SGCD,-0.88,6.43E-03
TCEANC,-0.23,6.45E-03
SLC10A1,-1.54,6.45E-03
PSME3,0.18,6.45E-03
ZNF679,-0.3,6.47E-03
ADIPOR2,-0.25,6.47E-03
CREBBP,-0.22,6.48E-03
PTGDS,-1.29,6.48E-03
LINC00934,-0.07,6.49E-03
CFP,0.68,6.49E-03
ALG1L,-0.77,6.49E-03
MBD4,-0.19,6.50E-03
NEIL1,-0.46,6.50E-03
TMEM109,0.2,6.53E-03
TAF15,0.18,6.53E-03
AP5B1,-0.28,6.55E-03
GTF2IP1,-0.21,6.57E-03
DHRS7B,-0.28,6.58E-03
HEATR5A,-0.29,6.58E-03
XKR5,-0.29,6.59E-03
ACAT1,-0.46,6.60E-03
RPLP2,0.35,6.60E-03
PCYOX1,-0.27,6.61E-03
ZBTB42,-0.28,6.62E-03
NAGA,-0.27,6.67E-03
TNNC1,1.02,6.67E-03
GTF2IRD2,-0.35,6.67E-03
TYRP1,-0.7,6.68E-03
PRR22,-0.42,6.71E-03
IL27,-0.69,6.71E-03
EIF3J,0.17,6.71E-03
EFCAB2,-0.32,6.71E-03
OCIAD2,-0.83,6.72E-03
TGIF2LY,-0.21,6.72E-03
USP6,-0.23,6.73E-03
SPP1,1.47,6.73E-03
FBXO15,0.44,6.75E-03
URI1,0.21,6.75E-03
FAM20B,-0.21,6.78E-03
PSD4,-0.3,6.80E-03
SYNCRIP,0.2,6.81E-03
SNRPE,0.28,6.81E-03
SLC25A5-AS1,-0.34,6.82E-03
CYP2A6,-1.79,6.83E-03
YARS2,0.21,6.86E-03
ALDH1A3,-0.84,6.87E-03
IL22RA1,-0.79,6.87E-03
ARHGAP5,-0.27,6.88E-03
LINC02685,-0.28,6.88E-03
TRABD,0.25,6.88E-03
TNFRSF14,-0.3,6.88E-03
REXO2,0.22,6.89E-03
CD68,0.38,6.90E-03
ZNF680,-0.36,6.90E-03
SLC16A11,-0.84,6.91E-03
NDUFS7,-0.31,6.93E-03
SNX2,0.17,6.93E-03
HNRNPA3P1,0.21,6.95E-03
RTL9,-0.77,6.95E-03
NELFA,0.19,6.95E-03
ACSM2B,-0.98,6.96E-03
NUP37,0.27,6.97E-03
WWP1,0.29,6.99E-03
LILRB2,0.51,6.99E-03
ADGRL1,-0.64,6.99E-03
SNN,-0.25,7.00E-03
TMPRSS6,-0.87,7.01E-03
GNPTAB,-0.28,7.01E-03
KCNK10,0.69,7.02E-03
SLC25A11,-0.23,7.03E-03
DOK2,0.46,7.03E-03
EIF4EBP3,0.33,7.04E-03
ATF5,-0.8,7.04E-03
IGSF6,0.5,7.04E-03
ENC1,0.53,7.04E-03
ZCCHC24,-0.35,7.05E-03
TRIM54,0.99,7.07E-03
RBMY1B,-0.26,7.09E-03
PDIA3P1,-0.19,7.09E-03
OSTCP1,0.25,7.10E-03
ZNF540,-0.32,7.10E-03
TRAPPC6B,-0.17,7.10E-03
RAI2,-0.55,7.11E-03
ZMPSTE24,-0.22,7.12E-03
ZNF770,-0.25,7.13E-03
KAT2A,0.31,7.13E-03
RPL27A,0.34,7.14E-03
CKMT2,-0.78,7.23E-03
CNOT11,0.25,7.23E-03
CA8,-0.53,7.23E-03
UPK3B,-0.46,7.31E-03
NOC4L,0.22,7.32E-03
MPPED2,-0.6,7.34E-03
RBM7,0.22,7.34E-03
TAF7L,-0.46,7.36E-03
VIP,-0.42,7.37E-03
NEK6,0.22,7.37E-03
SEC22A,-0.15,7.37E-03
CCDC51,0.23,7.39E-03
PKD1L1-AS1,-0.14,7.40E-03
HCP5,-0.5,7.41E-03
GSTK1,-0.3,7.41E-03
SCN8A,-0.57,7.41E-03
SERPINB11,0.53,7.42E-03
PTPRT,-0.68,7.43E-03
ATF3,0.51,7.43E-03
SLC22A7,-1.39,7.44E-03
FAM170A,-0.28,7.46E-03
LINC01554,-1.44,7.47E-03
CTPS2,0.22,7.50E-03
LYZ,0.84,7.52E-03
GYG1,0.25,7.54E-03
RNASE7,-0.59,7.55E-03
CHRNE,-0.5,7.55E-03
STXBP1,-0.52,7.56E-03
CPNE4,-0.25,7.57E-03
ADD3,0.42,7.58E-03
COL17A1,-0.48,7.58E-03
ABCA5,-0.35,7.58E-03
PTGES3,0.16,7.58E-03
PRICKLE4,-0.51,7.59E-03
MMADHC,0.17,7.60E-03
CENPO,0.42,7.62E-03
TRAPPC12,-0.15,7.63E-03
SLC2A5,-0.93,7.63E-03
MAP1LC3A,-0.46,7.63E-03
SH3RF1,-0.42,7.63E-03
FCER1G,0.55,7.65E-03
CTAGE11P,-0.37,7.68E-03
GATC,0.28,7.68E-03
AKR1C4,0.84,7.70E-03
MTFR1,0.29,7.71E-03
INHBC,-0.81,7.72E-03
MEGF6,-0.83,7.72E-03
ARMC10,0.14,7.73E-03
CCDC7,-0.41,7.74E-03
TMEM106A,0.53,7.74E-03
RRP7A,0.3,7.76E-03
FADS2,-0.83,7.77E-03
IKBIP,0.29,7.77E-03
FAM166A,-0.46,7.79E-03
RHBG,1.43,7.79E-03
GTF2H1,0.17,7.80E-03
FST,0.72,7.80E-03
BCL2L13,0.16,7.80E-03
RBM45,0.15,7.82E-03
DHDDS,-0.23,7.84E-03
DDX51,0.21,7.84E-03
PGAM5,0.23,7.85E-03
RHOBTB1,0.74,7.85E-03
AZIN2,-0.47,7.86E-03
MIR22HG,-0.34,7.86E-03
PIK3CB,-0.17,7.87E-03
SEPTIN5,-0.56,7.88E-03
POLG,-0.21,7.89E-03
C1QB,0.54,7.91E-03
TXNDC9,0.18,7.92E-03
PI3,-1,7.92E-03
WBP1L,-0.17,7.95E-03
IGFBP4,-0.4,7.96E-03
NPTXR,-0.74,7.97E-03
TEKT4P2,-0.44,8.01E-03
KCTD15,0.55,8.01E-03
ANKZF1,0.21,8.02E-03
QSOX2,0.23,8.02E-03
EFS,-0.6,8.04E-03
CPNE1,0.32,8.06E-03
CNOT9,0.28,8.06E-03
CRNKL1,0.18,8.06E-03
PKNOX2,-0.7,8.07E-03
LYPLA1,0.27,8.07E-03
ENTPD8,-0.78,8.08E-03
JUND,0.34,8.08E-03
ABCC6P1,-0.63,8.09E-03
SLC8B1,-0.32,8.09E-03
IL17RB,0.5,8.11E-03
REEP6,-0.78,8.13E-03
TMEM70,0.27,8.14E-03
RETREG3,-0.19,8.16E-03
SLC7A1,0.68,8.16E-03
GPC1,-0.83,8.19E-03
SRP9,-0.17,8.20E-03
PTK6,-0.94,8.21E-03
CCDC28B,-0.62,8.22E-03
RPL36,0.34,8.22E-03
ADCY1,-0.89,8.22E-03
HERC3,-0.39,8.24E-03
MMP28,-0.7,8.25E-03
VPS35L,-0.43,8.26E-03
SNTG2,-0.13,8.27E-03
FAM126A,0.29,8.27E-03
RFX4,0.48,8.29E-03
GFUS,0.33,8.29E-03
CCL3,0.53,8.30E-03
ZFAT,0.25,8.30E-03
FIGLA,-0.09,8.33E-03
UBQLN4,0.24,8.34E-03
LRRC4C,-0.71,8.34E-03
ALPL,-0.91,8.34E-03
LRIT3,-0.36,8.34E-03
BHLHB9,-0.43,8.35E-03
ODF2,0.25,8.35E-03
STYXL2,-0.3,8.38E-03
SSBP3,-0.31,8.38E-03
PTPN23,0.18,8.38E-03
GREB1,0.79,8.39E-03
RPGR,0.35,8.40E-03
NRAS,0.22,8.44E-03
TWSG1,-0.43,8.44E-03
WNT4,-1.06,8.45E-03
PHF20L1,0.21,8.45E-03
SND1,0.17,8.45E-03
APOD,-0.75,8.47E-03
ZNF623,0.31,8.48E-03
RPL21,0.43,8.49E-03
TCERG1,0.26,8.49E-03
STS,-0.46,8.50E-03
MRPL17,0.22,8.52E-03
MIXL1,0.29,8.53E-03
DCST2,-0.62,8.53E-03
E2F3,0.31,8.54E-03
ORAI3,-0.28,8.54E-03
RNF2,0.27,8.56E-03
BBS12,0.36,8.58E-03
RUVBL2,0.23,8.58E-03
KIAA1143,0.26,8.60E-03
SIM2,-0.4,8.61E-03
PEX2,0.2,8.63E-03
ANXA2P2,0.37,8.63E-03
EXT1,0.31,8.66E-03
WDR24,-0.25,8.68E-03
AGPS,0.22,8.68E-03
AMD1,0.24,8.72E-03
CDK2AP2,-0.25,8.74E-03
CYP2R1,-0.19,8.76E-03
WDR59,0.19,8.76E-03
LINC01138,0.38,8.78E-03
SPON1,-0.89,8.78E-03
LIAS,0.21,8.78E-03
ETFDH,-0.36,8.79E-03
ADGRG6,0.49,8.79E-03
TXN,0.36,8.79E-03
NRL,-0.26,8.81E-03
TOX3,0.65,8.81E-03
AFM,-1.11,8.81E-03
CILP,-0.75,8.85E-03
ZFR2,-0.43,8.85E-03
GANC,-0.29,8.86E-03
MTA3,0.25,8.86E-03
MTTP,0.6,8.86E-03
ZBED6CL,0.36,8.87E-03
DBF4,0.3,8.88E-03
CSNK2A1,0.21,8.89E-03
DNAJC5B,0.55,8.90E-03
TRAP1,0.23,8.96E-03
PITHD1,-0.21,8.97E-03
TRIM49D2,-0.07,8.98E-03
MRPL11,0.21,8.99E-03
SLC28A1,-1.11,9.01E-03
HSPE1,0.27,9.03E-03
ULK2,-0.6,9.04E-03
SLC6A19,1.15,9.04E-03
IFNAR2,0.2,9.05E-03
IGIP,-0.24,9.06E-03
LDLRAD3,0.56,9.07E-03
DGUOK,0.22,9.07E-03
ADGRG1,-0.5,9.07E-03
ZNF91,-0.24,9.10E-03
OIP5-AS1,-0.2,9.11E-03
TMEM182,0.54,9.12E-03
PTTG3P,0.42,9.12E-03
CKLF,0.29,9.13E-03
GTF3C2,0.17,9.13E-03
LILRA5,0.6,9.13E-03
KCNS1,-0.56,9.14E-03
ARL6IP6,0.31,9.14E-03
SOX9,0.77,9.17E-03
CGB5,-0.13,9.20E-03
PGAP3,-0.3,9.23E-03
TSN,0.17,9.23E-03
FBXL5,-0.28,9.23E-03
RPL13AP6,0.41,9.23E-03
RBM12,0.18,9.24E-03
RNF216,0.18,9.25E-03
FARSA,0.18,9.31E-03
IL17RC,-0.3,9.31E-03
CSE1L,0.23,9.32E-03
NCKAP5,0.62,9.32E-03
RET,-0.76,9.32E-03
GPRC5C,-0.3,9.32E-03
FAM126B,-0.24,9.33E-03
DYRK4,0.24,9.33E-03
NUDT22,-0.32,9.33E-03
ILDR2,-0.72,9.33E-03
COL15A1,-0.6,9.33E-03
LINC00482,-0.56,9.34E-03
HPGD,-1.29,9.36E-03
DMKN,1.35,9.37E-03
OR56A3,-0.31,9.37E-03
DUSP13,0.87,9.37E-03
ST7-AS2,-0.11,9.37E-03
KLHL36,-0.25,9.37E-03
IFIT2,-0.44,9.39E-03
RALGAPA1,-0.26,9.40E-03
GPR17,-0.61,9.40E-03
MICAL2,-0.39,9.41E-03
CSNK1D,0.16,9.46E-03
RAD9A,-0.24,9.46E-03
SLC25A4,-0.28,9.46E-03
NEMP2,0.24,9.47E-03
COL8A1,-0.78,9.48E-03
TSSK3,-0.41,9.49E-03
SUMO4,-0.4,9.49E-03
H1-0,-0.25,9.50E-03
MED29,-0.14,9.52E-03
MIA2,-0.23,9.52E-03
PRXL2B,-0.34,9.55E-03
TAS1R1,-0.3,9.56E-03
COMMD6,0.27,9.58E-03
GSTT2,-0.95,9.58E-03
MUC13,-1.47,9.59E-03
SLC16A1,0.43,9.61E-03
TNPO1,0.19,9.62E-03
F11,-0.68,9.63E-03
AKR1D1,-1.17,9.66E-03
PIGQ,-0.27,9.69E-03
PTCD2,0.22,9.69E-03
RAP1GAP2,0.78,9.70E-03
NR2F2,-0.28,9.71E-03
ROM1,-0.33,9.72E-03
SPRR2D,-0.21,9.73E-03
CNOT7,0.26,9.74E-03
EHF,-0.92,9.76E-03
KLHL42,0.24,9.76E-03
BLNK,-0.43,9.77E-03
HDGFL1,-0.26,9.77E-03
TENT4A,-0.22,9.78E-03
MBLAC1,-0.33,9.79E-03
DNAJC3,-0.25,9.80E-03
ENPP4,-0.47,9.80E-03
ZNF688,-0.26,9.80E-03
PDLIM1,0.3,9.84E-03
NOL7,0.21,9.84E-03
CPLANE2,-0.42,9.86E-03
AGXT,-1.15,9.86E-03
FITM1,-0.53,9.87E-03
PHKG1,-0.37,9.91E-03
CCL26,-0.6,9.91E-03
BCKDK,-0.22,9.92E-03
CCDC126,-0.24,9.93E-03
MTARC1,-0.43,9.93E-03
RHCG,-0.82,9.94E-03
GBP7,-1.01,9.95E-03
DUSP5,0.62,9.95E-03
JAML,0.53,9.95E-03
ZNF589,0.28,9.97E-03
RERGL,-0.73,9.97E-03
SLC25A35,-0.31,9.97E-03
ACADS,-0.4,9.98E-03
FLJ44635,0.36,0.0101
C5ORF60,-0.19,0.0101
BBS4,-0.22,0.0101
GEMIN8,0.18,0.0101
MCL1,0.26,0.0101
SACS,0.43,0.0101
NCOR2,-0.24,0.0101
CYP2D7,-0.8,0.0101
TMEM62,-0.23,0.0102
RAD50,0.21,0.0102
RRP1B,0.21,0.0102
PLPPR3,-0.35,0.0102
ASB7,-0.18,0.0103
POGK,0.24,0.0103
KLKB1,-0.63,0.0103
DCP1A,0.21,0.0103
CD72,0.53,0.0103
FHAD1,-0.54,0.0104
RNF103,-0.21,0.0104
INPPL1,-0.19,0.0104
TJP1,-0.26,0.0104
ABHD15,-0.46,0.0104
PPIAL4C,0.23,0.0104
DPY19L4,0.26,0.0104
STAC,0.85,0.0105
MECR,-0.22,0.0105
PPM1A,-0.2,0.0105
BTG1,0.3,0.0105
THSD7B,-0.5,0.0105
VPS18,-0.2,0.0105
CDK5RAP2,0.23,0.0105
ATP6V1G2,-0.38,0.0105
ATG4D,-0.31,0.0105
SHANK2,-0.41,0.0105
ZNF570,0.34,0.0105
MATN2,-0.64,0.0106
NUP214,0.15,0.0106
SPATA17,0.68,0.0106
ZNF652,-0.19,0.0106
SLC18A2,-0.36,0.0106
FUT10,0.34,0.0106
ADCY9,-0.25,0.0106
ZNF280A,0.49,0.0106
ZDHHC15,-0.54,0.0106
TFB2M,0.22,0.0106
MAP6,-0.54,0.0106
SNX19,-0.3,0.0106
DUSP2,0.65,0.0106
DLGAP1-AS1,0.42,0.0107
EDEM1,-0.24,0.0107
BCO2,-0.97,0.0107
USP27X,0.52,0.0107
NPY6R,1.01,0.0107
LHX9,-0.83,0.0107
WFIKKN1,-0.49,0.0107
DNAAF4,0.64,0.0107
DMBX1,-0.55,0.0107
EFNA2,-0.57,0.0107
FBXL17,-0.22,0.0107
NPAS1,0.52,0.0108
BMPR2,-0.28,0.0108
RBMX,0.19,0.0108
AMN,1.04,0.0108
FKBP11,0.47,0.0108
RNF40,-0.19,0.0108
QARS1,0.21,0.0108
AMY2A,-0.42,0.0108
PTPRJ,-0.22,0.0108
ZNF830,0.22,0.0108
MRPL51,0.21,0.0108
DGCR6L,-0.3,0.0109
PCCA,-0.31,0.0109
GNL2,0.2,0.0109
FAAH,-0.46,0.0109
UNC93A,1.08,0.0109
PRSS8,-1.41,0.0109
NOTCH4,-0.29,0.0109
MALAT1,-0.3,0.011
MZF1-AS1,-0.36,0.011
TTC4,0.2,0.011
PCNX1,-0.23,0.011
DNAJC16,-0.2,0.011
LMF1,-0.44,0.011
SNHG3,0.51,0.011
UBE2MP1,0.19,0.011
SCN4B,-0.46,0.011
ACO1,-0.28,0.0111
TSSC2,-0.29,0.0111
CYBA,0.62,0.0111
HIC2,0.49,0.0111
CSAG2,-0.9,0.0111
VPS13B,0.26,0.0112
TRIP13,0.59,0.0112
CLTA,0.19,0.0112
HP1BP3,-0.2,0.0112
NAGLU,-0.26,0.0112
AKR1C8P,-0.76,0.0113
DDX53,-0.56,0.0113
PIM1,0.38,0.0113
CACNA1I,-0.7,0.0113
TMEM74B,0.55,0.0113
LINC00189,0.86,0.0113
ACSL1,-0.62,0.0114
PPP1R3B,-0.55,0.0114
HAT1,0.18,0.0114
LGR5,1.36,0.0115
PGP,-0.29,0.0115
SIM1,-0.67,0.0115
C1QA,0.49,0.0115
FZD7,0.64,0.0115
ADAMTS10,-0.6,0.0115
TAPT1,-0.27,0.0115
SCML2,0.44,0.0115
FAM76A,-0.23,0.0115
ADAM9,0.36,0.0116
RPAP2,0.2,0.0116
VPS26A,0.13,0.0116
ACSF2,-0.36,0.0116
DGCR5,-0.36,0.0116
HINT3,-0.2,0.0116
TRMT2B,-0.25,0.0116
DDX54,0.15,0.0116
ABCB6,0.34,0.0116
TIAM2,-0.58,0.0117
AP3S2,-0.17,0.0117
INTS4,0.17,0.0117
TLCD1,0.38,0.0117
TRPT1,-0.25,0.0117
PIM2,0.35,0.0117
C1GALT1,0.26,0.0117
TBC1D20,-0.13,0.0117
MRPL20-AS1,-0.23,0.0118
PDIA4,-0.22,0.0118
DHRS3,-0.29,0.0118
DENND5A,0.22,0.0118
URB2,0.24,0.0118
CYP7A1,-1.44,0.0118
PKDCC,-0.64,0.0119
TAB2,-0.25,0.0119
PDE6D,-0.16,0.0119
NEURL2,0.31,0.0119
SLC44A2,-0.35,0.0119
SHFL,-0.28,0.0119
DHX34,0.25,0.0119
ELFN2,-1,0.0119
PEX7,-0.26,0.0119
CALML3,-0.52,0.0119
CYB561,-0.59,0.0119
TRIM68,-0.24,0.012
MMP13,-0.31,0.012
DCAF8,-0.17,0.012
RNMT,0.19,0.012
SMAD5-AS1,-0.36,0.012
UTP3,0.18,0.012
