Gene	Log2FoldChange	pvalue
POP5	0.11	0.205
CD47	-0.15	0.205
AKAP13	-0.13	0.205
SLN	0.22	0.205
DNAL4	0.1	0.205
CHMP2A	-0.12	0.205
TRIM25	0.13	0.205
CTDNEP1	0.1	0.206
TSC2	-0.11	0.206
PROK2	0.19	0.206
CNTNAP3	-0.4	0.206
FAM86EP	0.12	0.206
RSPH14	0.27	0.206
MAP3K7	0.12	0.206
CFLAR	0.09	0.206
CYP26B1	0.44	0.206
GTF2A1L	-0.18	0.206
SLC35G5	-0.1	0.206
CKAP4	0.16	0.206
IRF8	0.22	0.206
GAGE8	-0.19	0.206
NOX4	-0.22	0.206
MOCS2	-0.11	0.207
PNISR	-0.12	0.207
MMP24	-0.21	0.207
FKBP1B	0.38	0.207
CXCL2	0.36	0.207
ZFAND5	0.2	0.207
RO60	-0.08	0.207
APOBEC3A	0.25	0.207
OR52B6	-0.03	0.207
IREB2	-0.09	0.207
BTBD19	0.24	0.207
SCGB2A1	-0.35	0.207
ABCA3	-0.29	0.208
TBC1D1	0.13	0.208
ACTN2	-0.54	0.208
OSBPL3	0.21	0.208
C1ORF220	-0.21	0.208
MS4A4A	0.23	0.208
FLNC	0.51	0.208
E4F1	-0.1	0.208
NHS	-0.26	0.208
C9ORF40	0.15	0.208
CDNF	0.18	0.208
FER1L6	0.49	0.208
BARX2	0.3	0.208
RAD51	0.26	0.208
SON	-0.09	0.208
XPNPEP1	0.09	0.208
STX7	0.11	0.208
INTU	0.23	0.208
GTPBP3	0.1	0.208
LCA5	0.22	0.208
PPM1H	-0.31	0.208
RING1	-0.1	0.208
IFI44	-0.28	0.208
GPR162	-0.26	0.208
YTHDC1	0.07	0.208
FBXO10	0.14	0.209
ITGB1	-0.12	0.209
BCL2A1	0.31	0.209
DPH1	0.11	0.209
CYB5B	0.12	0.209
LINC02878	0.17	0.209
RHBDD3	-0.12	0.209
SPARC	-0.19	0.209
VMP1	0.1	0.209
PDGFD	-0.26	0.209
PROX2	0.11	0.209
ARSL	0.46	0.209
ARRDC1-AS1	-0.12	0.209
HBQ1	0.22	0.209
EFR3B	-0.16	0.209
TCN1	0.44	0.209
KBTBD6	0.1	0.209
PRTG	0.38	0.209
SPTBN2	-0.33	0.209
OR2K2	0.06	0.209
ZACN	0.15	0.209
OR10V1	-0.02	0.209
MDFI	-0.35	0.209
LINC01257	-0.15	0.209
MSTO2P	-0.19	0.209
UBE2I	0.1	0.21
ABHD17A	-0.1	0.21
IPP	-0.14	0.21
APC	-0.11	0.21
RELL1	-0.15	0.21
NFAM1	0.23	0.21
DGCR2	-0.08	0.21
CLDN25	-0.09	0.21
SLC52A3	-0.38	0.21
MAPK7	-0.12	0.21
TSPYL5	-0.22	0.21
F12	-0.44	0.21
PFKM	0.21	0.21
GHRHR	-0.47	0.21
RASGRP1	0.29	0.21
ADH1A	-0.43	0.21
AP4E1	-0.09	0.21
KBTBD11	-0.42	0.21
C10ORF55	-0.17	0.21
EXO5	-0.09	0.211
GPR107	0.11	0.211
SPDYE5	-0.15	0.211
CIAO2A	-0.11	0.211
TPBG	-0.39	0.211
C14ORF119	0.07	0.211
LINC00894	-0.23	0.211
DDIT3	-0.15	0.211
NPDC1	-0.18	0.211
TINCR	-0.19	0.211
GLUL	0.39	0.211
SLC17A3	0.34	0.211
ZDHHC2	-0.24	0.211
FAM228B	0.22	0.211
CHPT1	-0.15	0.211
JADE1	-0.16	0.211
FAM120B	-0.14	0.211
LARP1B	-0.12	0.211
BOLA1	-0.13	0.211
ETNK2	-0.37	0.211
NDUFB2-AS1	0.12	0.211
CMKLR1	0.21	0.211
LYPD6	-0.4	0.212
MAP1B	-0.22	0.212
C17ORF67	-0.28	0.212
MEX3B	-0.26	0.212
LYPD5	-0.25	0.212
PAQR6	-0.25	0.212
RNU12-2P	-0.07	0.212
NMI	0.12	0.212
RBM25	0.09	0.212
SACM1L	-0.09	0.212
COPZ1	0.08	0.212
HABP2	-0.37	0.212
ZNF780A	-0.1	0.212
PCDHGA7	-0.27	0.212
H2BC13	-0.15	0.212
CHDH	0.15	0.213
PIP4P2	0.25	0.213
LGALS7	0.25	0.213
C11ORF52	0.17	0.213
AQP3	0.24	0.213
PEX13	-0.08	0.213
VEGFB	-0.28	0.213
KATNAL1	-0.15	0.213
THOC6	0.1	0.213
SUGCT	0.2	0.213
ANKRD22	0.46	0.213
FLG2	-0.06	0.213
HOXA2	-0.2	0.213
LRRC41	0.08	0.213
RFC4	0.16	0.213
LINC00520	0.15	0.213
PRKRIP1	-0.09	0.213
BUD13	0.07	0.213
RNF144B	-0.18	0.213
TMEM132A	0.31	0.213
CA9	0.64	0.214
GPAT4	0.15	0.214
MORN5	0.09	0.214
BSPRY	-0.4	0.214
GET3	-0.1	0.214
RGMB	0.2	0.214
HELZ2	-0.17	0.214
CDK17	-0.12	0.214
SMIM5	-0.2	0.214
MYO5C	-0.16	0.214
OR52E4	-0.03	0.214
LRCH1	0.13	0.214
PLEK2	-0.49	0.214
NEFM	0.27	0.214
CD52	0.26	0.214
RAP1GDS1	0.14	0.214
FAM110D	-0.2	0.214
DLX6-AS1	0.27	0.214
GSTP1	0.3	0.215
TRMT1L	-0.1	0.215
B3GNTL1	0.18	0.215
CMTM4	-0.19	0.215
KRT20	-0.41	0.215
CORO1A	0.23	0.215
OPRL1	-0.2	0.215
WDR53	-0.07	0.215
CPN2	-0.41	0.215
NEK11	0.26	0.215
ADGRG7	0.36	0.215
UNC5B	-0.24	0.215
MAF	-0.13	0.215
PZP	-0.48	0.215
VSX1	-0.22	0.215
ITGA2	0.29	0.215
SLC45A3	-0.23	0.215
LIFR	0.33	0.215
PAK4	0.12	0.215
SPACA9	0.17	0.215
SAPCD1	0.2	0.215
SLC5A8	0.11	0.215
PTPN9	-0.09	0.216
PRPF3	0.11	0.216
OIT3	0.3	0.216
THAP12	-0.08	0.216
SLC4A11	-0.38	0.216
TRIM66	-0.12	0.216
TES	0.2	0.216
IYD	-0.37	0.216
MKS1	0.11	0.216
FRAT2	0.12	0.216
CFHR5	-0.62	0.216
CCDC116	-0.16	0.216
MBNL3	0.29	0.216
DUOXA1	-0.23	0.216
CCL18	0.38	0.216
DNHD1	-0.16	0.216
EARS2	-0.1	0.216
ZBED2	0.33	0.216
LRTM2	-0.07	0.216
RTCB	0.08	0.216
VTN	-0.23	0.216
NBEAL2	0.18	0.216
AGBL2	-0.25	0.217
MTURN	-0.19	0.217
BNC1	-0.2	0.217
RGPD4	0.13	0.217
NMRK2	-0.13	0.217
KIF11	0.22	0.217
NAT2	-0.56	0.217
SHANK1	-0.23	0.217
ASMTL	-0.15	0.217
MRPL24	0.14	0.217
MARCHF9	-0.22	0.217
KLK4	-0.36	0.217
UAP1L1	-0.25	0.218
MRPL55	-0.14	0.218
COMMD4	-0.12	0.218
WDR73	0.11	0.218
NBPF7	-0.12	0.218
PARP9	-0.14	0.218
PILRB	-0.14	0.218
MRPL48	0.09	0.218
LRTM1	0.1	0.218
UBQLN2	0.1	0.218
CCNO	-0.41	0.218
SULT1C2	0.52	0.218
ZNF154	-0.2	0.218
FHL2	-0.33	0.218
ST6GALNAC4	0.22	0.218
FAM81A	-0.3	0.218
ZNF385B	-0.41	0.218
ARL16	-0.13	0.218
ACKR4	0.22	0.218
GLIS3	-0.37	0.219
VWA2	0.32	0.219
STUM	-0.26	0.219
METRNL	-0.26	0.219
PON1	-0.41	0.219
MAP1A	-0.27	0.219
LINC01000	-0.14	0.219
ARPC1A	0.09	0.219
CMPK2	-0.26	0.219
ITCH	-0.09	0.219
TMTC1	0.23	0.219
LVRN	-0.25	0.219
ZNF566	0.11	0.219
RIF1	0.19	0.219
C1ORF115	-0.16	0.219
ASIC5	-0.1	0.219
FAM155A	-0.25	0.219
TBXA2R	-0.21	0.219
ZBTB48	-0.1	0.22
TACR1	-0.29	0.22
RNF126	0.11	0.22
WSB2	-0.09	0.22
REG4	0.32	0.22
COX7A2L	0.08	0.22
PEG3	0.63	0.22
PHOX2B	0.11	0.22
ECHDC3	-0.3	0.22
JHY	-0.22	0.22
ZNF837	-0.15	0.22
GBP6	-0.23	0.22
SNRK	-0.12	0.22
USP9X	-0.12	0.221
RGS2	0.3	0.221
KPTN	0.13	0.221
DHCR7	-0.26	0.221
PGM5P2	0.17	0.221
DRC1	0.23	0.221
SUSD1	0.21	0.221
PPP1R9A	0.35	0.221
DFFB	0.13	0.221
SLC6A6	0.34	0.221
MPDZ	-0.22	0.221
POLR3H	0.09	0.221
ELAVL3	-0.14	0.221
TLX1	0.42	0.221
MAGEC3	-0.16	0.221
PAX1	-0.03	0.221
SYT10	-0.09	0.221
ARRDC5	0.17	0.221
UGCG	0.25	0.221
TMEM39A	0.09	0.221
PON3	-0.31	0.222
OACYLP	0.03	0.222
ADNP	0.12	0.222
MTRF1	0.13	0.222
SAGE1	0.33	0.222
PANX3	0.2	0.222
LCAT	-0.33	0.222
MOB1B	0.12	0.222
INAVA	-0.52	0.222
SOX15	-0.14	0.222
SYNPR	0.14	0.222
CCDC186	-0.19	0.222
MCFD2	-0.1	0.222
DRD5	-0.1	0.222
STAT1	0.18	0.222
IQSEC3	-0.24	0.222
HCG22	-0.09	0.223
SLC23A3	-0.37	0.223
SLITRK1	-0.21	0.223
KCNT1	-0.17	0.223
PPP1R10	-0.09	0.223
PALD1	-0.17	0.223
UQCR11	-0.13	0.223
JUP	0.11	0.223
STAT2	-0.12	0.223
TNS1	-0.14	0.223
RBFOX2	-0.11	0.223
RBM17	0.07	0.223
OR8G2P	0.04	0.223
SNX17	0.06	0.223
NAV2	-0.25	0.223
IL34	-0.28	0.223
ZNF205	-0.1	0.224
PLXNB1	0.14	0.224
MACROH2A1	0.09	0.224
MEPCE	0.08	0.224
ODF1	0.04	0.224
ZDHHC24	-0.11	0.224
FGF20	-0.1	0.224
CD200R1	0.21	0.224
BCORL1	0.18	0.224
PEX11B	-0.11	0.224
ABRAXAS2	0.07	0.224
LSP1	0.21	0.224
NMB	0.21	0.224
PEBP1	-0.16	0.224
ANXA7	-0.07	0.224
C8ORF58	-0.14	0.224
C16ORF92	-0.05	0.224
VPS11	0.07	0.224
USP19	0.07	0.224
ARMCX1	0.24	0.224
MBD6	-0.1	0.224
DYNC1LI2	-0.09	0.224
IL1RL1	-0.36	0.224
GNPAT	0.12	0.225
XAGE2	0.26	0.225
CENPV	0.22	0.225
FOXA2	0.14	0.225
HCG11	-0.19	0.225
PSIP1	-0.12	0.225
ZNF205-AS1	-0.16	0.225
GLYATL1	-0.41	0.225
PWAR4	0.11	0.225
PGLYRP3	0.08	0.225
ZBTB49	0.09	0.225
ODF3L2	-0.17	0.225
NDUFV3	0.1	0.225
KAT6B	-0.12	0.226
IQCD	-0.3	0.226
TMEM41B	-0.09	0.226
MAOB	-0.26	0.226
ADORA2A	-0.12	0.226
SNORA65	0.07	0.226
UHMK1	-0.3	0.226
BHLHE41	-0.34	0.226
MANSC1	0.13	0.226
UCP3	-0.18	0.226
CROCCP2	-0.14	0.226
MAML1	0.11	0.226
U2AF1L4	-0.14	0.226
ADAM22	0.32	0.226
APRT	0.14	0.226
KIFC3	0.12	0.226
SERF2	-0.11	0.227
PIDD1	-0.12	0.227
LINC00469	0.1	0.227
ATP6AP1L	-0.17	0.227
ACSL5	0.28	0.227
ULBP3	-0.29	0.227
TPX2	0.24	0.227
SCUBE2	-0.39	0.227
TCAIM	-0.11	0.227
C1ORF122	-0.17	0.227
VSX2	0.16	0.227
CRYGA	0.04	0.227
KCNJ12	-0.21	0.227
GLTP	-0.08	0.228
DIS3L2	0.06	0.228
IGSF1	0.54	0.228
SPP2	-0.62	0.228
KBTBD13	-0.03	0.228
TUBB2A	0.19	0.228
RANGAP1	0.12	0.228
TRA2B	0.06	0.228
A1CF	0.2	0.228
SEC24A	-0.11	0.228
SPAM1	-0.03	0.228
SLCO2B1	-0.23	0.228
PJA2	-0.1	0.228
MAB21L4	-0.42	0.228
GARRE1	-0.11	0.228
HOXD1	-0.35	0.228
NTNG1	-0.11	0.229
CRELD1	-0.1	0.229
VLDLR-AS1	0.25	0.229
DUSP29	0.04	0.229
PRR15L	0.43	0.229
NDEL1	0.12	0.229
ASB4	-0.32	0.229
MTHFD1	-0.2	0.229
TARDBPP3	0.09	0.229
CTH	-0.35	0.229
SLC27A5	-0.38	0.229
CLOCK	-0.23	0.229
PKD1L3	-0.17	0.229
NFKBIB	-0.1	0.229
CCDC198	0.27	0.229
SORBS3	0.14	0.229
NCOA3	0.14	0.229
DEFB109B	-0.01	0.229
CAMKV	0.29	0.229
NAT1	-0.16	0.229
H4C4	0.14	0.229
CHST14	-0.11	0.229
CEMIP	-0.42	0.229
ZNF506	-0.23	0.229
SEC14L4	-0.39	0.23
TUBA8	-0.21	0.23
FMO6P	-0.11	0.23
SCD	0.31	0.23
ATP5MC1	0.15	0.23
LRRC37A	0.15	0.23
NHLRC2	-0.16	0.23
AIF1L	-0.27	0.23
EFEMP2	-0.23	0.23
RNF13	0.08	0.23
FABP3	0.24	0.23
GFRA1	-0.56	0.23
CDKN3	0.28	0.23
UBA6	-0.11	0.23
SPAAR	0.16	0.23
SNORD22	0.1	0.23
BTNL2	0.04	0.23
SDK2	-0.38	0.231
BTN3A1	-0.16	0.231
MOCOS	-0.21	0.231
CALN1	0.26	0.231
TET1	0.27	0.231
C15ORF48	-0.42	0.231
C1ORF198	-0.15	0.231
ZNF358	0.13	0.231
TCHHL1	0.05	0.231
SREK1	-0.09	0.231
ERG28	-0.14	0.231
DPY19L2	-0.23	0.231
DHCR24	-0.15	0.231
SAAL1	0.12	0.232
SPANXD	0.15	0.232
FOLR2	0.24	0.232
TCHH	0.25	0.232
KCNJ8	0.28	0.232
ZNF408	0.1	0.232
OR2AG2	0.05	0.232
OCEL1	-0.16	0.232
CDCA2	0.29	0.232
HTR3A	-0.29	0.232
TBX2	-0.19	0.232
RSPO3	-0.4	0.232
NIBAN2	-0.23	0.232
TICRR	0.29	0.232
KLHL34	-0.3	0.232
TIMM10B	-0.07	0.232
PPFIBP1	-0.13	0.232
KRTAP5-10	-0.17	0.232
FCRLB	0.29	0.232
KCNE3	0.19	0.232
KLF14	0.18	0.232
MTNR1B	-0.23	0.232
BTBD16	0.3	0.232
LBX2	-0.24	0.232
INSYN2A	-0.16	0.232
PCDHB5	0.39	0.232
KRTAP13-2	0.04	0.233
NXF2B	-0.1	0.233
NCR3LG1	-0.29	0.233
GSG1L	-0.1	0.233
CARMIL1	-0.28	0.233
ZNF181	-0.09	0.233
ZNF233	0.26	0.233
TM2D2	0.12	0.233
HIGD2B	-0.09	0.233
IMPG2	0.14	0.233
ACOX1	-0.15	0.233
GLIPR1	0.23	0.233
ZNF543	0.12	0.233
PKP3	0.46	0.234
ZBTB12	0.19	0.234
GPR183	0.27	0.234
POM121L8P	-0.13	0.234
C3ORF70	-0.18	0.234
EIPR1	0.1	0.234
NFKBIZ	0.19	0.234
TGM2	0.22	0.234
RXFP1	0.22	0.234
QSOX1	-0.38	0.234
ARHGEF39	0.18	0.234
PNPLA1	0.11	0.234
NDUFA12	-0.08	0.234
RNF125	-0.24	0.234
ENOSF1	-0.13	0.234
ATOX1	-0.14	0.234
WIPI2	0.09	0.234
METTL21C	-0.04	0.235
VPS41	-0.1	0.235
CHP2	-0.33	0.235
SCGB2A2	0.21	0.235
NRIP3	0.22	0.235
LGALS9	0.2	0.235
TBC1D15	0.07	0.235
FOXD4L1	-0.18	0.235
CARNMT1	0.23	0.235
EPHA8	0.16	0.235
MALL	-0.21	0.235
SPHK1	0.41	0.235
DUSP22	0.11	0.235
LRCH3	0.15	0.235
ANP32AP1	0.13	0.235
ZNF700	-0.1	0.235
ATP5PF	-0.1	0.235
SCART1	-0.27	0.235
SFRP4	-0.39	0.235
ZNF197	0.09	0.236
LAG3	0.32	0.236
CD9	-0.2	0.236
MYOCD	-0.29	0.236
APOA4	-0.68	0.236
RRAS	-0.15	0.236
OSER1	0.09	0.236
GRHL1	-0.2	0.236
VRK3	-0.09	0.236
CLUL1	0.25	0.236
CTNNB1	0.09	0.236
NR3C1	-0.11	0.236
CDYL	0.09	0.236
MRS2	0.12	0.236
SMCO3	-0.22	0.236
DENND10	-0.11	0.236
PTRH1	0.13	0.236
LIF	0.38	0.236
SIRT3	-0.08	0.236
SLC44A5	0.47	0.236
RFC2	-0.1	0.236
ARHGEF6	-0.17	0.236
TNFSF12	-0.16	0.237
SH2D2A	0.29	0.237
UQCRQ	-0.16	0.237
THYN1	0.1	0.237
RECQL	0.13	0.237
SAMD11	-0.44	0.237
BSDC1	-0.09	0.237
CHERP	0.07	0.237
OR1L8	0.07	0.237
ZNF131	0.09	0.237
PIGF	0.09	0.237
PPARD	-0.13	0.237
ZIC3	0.11	0.237
MTF2	0.13	0.237
C1ORF109	0.11	0.237
A4GNT	0.32	0.238
PREX2	-0.31	0.238
NDUFS3	-0.08	0.238
GLIPR1L1	-0.06	0.238
SVIP	-0.12	0.238
TSPAN15	-0.23	0.238
FGF12	-0.3	0.238
SCARNA22	0.03	0.238
NAT8B	0.36	0.238
IGSF8	-0.17	0.238
GABARAPL3	0.17	0.238
TFB1M	0.13	0.238
FMOD	-0.38	0.238
HEXB	0.1	0.238
TLCD3A	0.21	0.238
TMEM199	0.09	0.238
ASIC1	0.36	0.238
ZNF101	-0.09	0.238
LACC1	-0.16	0.239
PYCARD	0.25	0.239
SRP72	0.08	0.239
SULT1A2	-0.3	0.239
NACA2	0.17	0.239
TMEM255B	-0.16	0.239
MAFK	0.17	0.239
UCMA	-0.05	0.239
P4HA3	-0.28	0.239
FMNL2	0.25	0.239
SLC39A1	0.1	0.239
DBNDD1	-0.24	0.239
BRAT1	0.08	0.239
SCAMP3	0.11	0.239
FADS1	-0.3	0.239
CRIPAK	-0.12	0.239
TAS2R60	-0.08	0.239
PRDX5	-0.11	0.239
MAPKBP1	-0.1	0.239
SAP30L	-0.1	0.24
GNAI3	0.08	0.24
WHAMMP2	-0.16	0.24
ATP5MGL	0.1	0.24
C11ORF1	0.15	0.24
UCN3	0.1	0.24
L2HGDH	-0.13	0.24
ZNF445	0.12	0.24
COLEC11	-0.33	0.24
DENND2C	-0.21	0.24
SLC46A1	-0.14	0.24
LRRC71	-0.08	0.24
FGFBP2	0.19	0.24
SFTPC	0.17	0.24
CTSL	0.11	0.24
SDF2	0.08	0.24
P2RY12	0.24	0.24
AGAP2	-0.16	0.24
DOCK10	0.25	0.24
SNTG1	0.31	0.24
TANC1	0.14	0.24
FANCB	0.19	0.24
GIN1	-0.07	0.24
PLA2G12B	0.27	0.241
AGTPBP1	0.12	0.241
DHRS7C	0.08	0.241
GABPA	-0.1	0.241
MEG3	0.5	0.241
CCDC185	-0.2	0.241
NFIC	-0.24	0.241
FBXO47	0.09	0.241
SCGB2B2	-0.08	0.241
KCNV1	0.16	0.241
APOBEC3C	0.25	0.241
RASSF10	0.21	0.241
SLC4A7	0.21	0.241
TELO2	-0.09	0.241
SF3A1	0.06	0.241
EXOSC10	0.08	0.241
NIBAN1	-0.2	0.241
ZNF19	-0.1	0.241
HEYL	-0.27	0.241
HSD17B10	-0.13	0.242
MID1IP1	0.16	0.242
MFSD13A	0.15	0.242
CST9L	0.04	0.242
SASH3	0.21	0.242
UTRN	0.18	0.242
NAPSB	0.32	0.242
CPSF2	-0.08	0.242
LINC01622	0.31	0.242
SLFNL1	-0.17	0.242
CDC42BPA	-0.14	0.242
CD79B	0.15	0.242
CHRNB4	-0.19	0.242
NKAPP1	0.11	0.242
PROP1	-0.02	0.242
C8ORF37	0.16	0.242
TWIST2	-0.28	0.242
ANAPC10	0.07	0.242
ARHGEF18	-0.1	0.242
CHI3L2	0.34	0.243
ANKRD34C	-0.11	0.243
TLR1	0.22	0.243
TPTEP1	0.22	0.243
ALKBH3	-0.18	0.243
SMR3A	-0.15	0.243
LINC00303	-0.05	0.243
H2BC11	-0.3	0.243
NTF3	-0.27	0.243
PSPH	0.16	0.243
GATA4	0.16	0.243
LINC00472	-0.19	0.243
NMNAT2	-0.24	0.243
RFNG	0.13	0.243
ZNF512	0.12	0.243
CNPY1	0.11	0.243
RNASET2	0.16	0.243
CEACAM20	0.49	0.243
PDE2A	-0.24	0.243
SLC7A2	-0.31	0.243
ARC	-0.24	0.244
EXD3	-0.11	0.244
PPM1N	0.25	0.244
ARMC2	0.14	0.244
OCLN	-0.19	0.244
RCBTB2	-0.13	0.244
NUP210	0.16	0.244
TBC1D3G	-0.35	0.244
MDGA1	-0.32	0.244
AP5S1	-0.09	0.244
SCARF2	-0.21	0.244
MACIR	0.33	0.244
LCLAT1	0.1	0.244
CPEB4	-0.16	0.244
PLCZ1	-0.09	0.244
TAPBP	-0.1	0.244
PDCD6IP	0.06	0.245
MDN1	0.18	0.245
ADGRL3	-0.22	0.245
CBLC	0.27	0.245
SERPIND1	-0.37	0.245
LEPROTL1	0.11	0.245
MEF2B	-0.21	0.245
GMFG	0.15	0.245
PCDH11X	-0.08	0.245
VSIG2	-0.44	0.245
MSH6	0.09	0.245
BTF3P11	0.06	0.245
PPP1R18	-0.16	0.245
CEL	-0.3	0.245
SLC38A3	-0.41	0.245
NTM	-0.43	0.245
ZNF329	0.15	0.245
RUBCNL	0.23	0.245
WNK1	0.2	0.245
MICU1	-0.1	0.245
ARL14	0.46	0.245
USPL1	0.08	0.245
KIF12	0.28	0.245
HAUS8	0.1	0.246
ZNF22	0.11	0.246
SPAST	0.08	0.246
PRCP	0.1	0.246
APOLD1	-0.19	0.246
MMP25	0.19	0.246
MEG8	0.15	0.246
TBC1D19	-0.16	0.246
H2BC5	0.21	0.246
ZNF596	-0.15	0.246
ALDH8A1	-0.33	0.246
HLA-DQA1	0.27	0.246
USP35	-0.15	0.246
ATP10D	-0.18	0.246
C16ORF89	-0.22	0.246
SIPA1	-0.09	0.247
CTRL	0.21	0.247
ABCC9	-0.3	0.247
C3ORF84	0.03	0.247
ITIH5	-0.46	0.247
SLC9A5	-0.19	0.247
SLC10A3	0.12	0.247
JPH4	-0.19	0.247
LTB	0.3	0.247
CCS	-0.13	0.247
CTBP1-DT	-0.09	0.247
EGR1	0.27	0.247
TRAPPC3	-0.08	0.247
USF3	-0.13	0.247
MELK	0.26	0.247
KLHL3	0.32	0.248
CTAGE15	-0.22	0.248
SH2B3	-0.12	0.248
C5ORF47	0.13	0.248
ABCA17P	-0.21	0.248
PPP1R14A	-0.22	0.248
C20ORF144	-0.05	0.248
ATP5ME	-0.12	0.248
PABPC1L2B	-0.05	0.248
SDHAF3	0.15	0.248
SEL1L3	0.31	0.248
CFAP74	-0.14	0.248
MIR7-3HG	0.22	0.248
TMEM266	0.34	0.248
DUSP18	-0.14	0.248
SIPA1L3	-0.17	0.248
SLC9A9	0.18	0.248
NACC1	-0.1	0.248
USP30	-0.09	0.248
IQCG	-0.16	0.248
MESTIT1	-0.09	0.248
TUBG2	-0.12	0.248
C12ORF43	0.07	0.248
PMP2	0.2	0.249
VSTM2A	-0.04	0.249
ZNF248	-0.1	0.249
KIR3DL3	0.08	0.249
TMEM141	0.15	0.249
XRCC2	0.25	0.249
PPP1CB	-0.08	0.249
TMEM252	0.38	0.249
AFAP1-AS1	-0.52	0.249
HR	0.33	0.249
CD200R1L	0.05	0.249
FAM86DP	0.13	0.249
RAMP2	-0.17	0.249
SLC6A12	0.3	0.249
TMPRSS3	-0.52	0.249
PSMC1	-0.09	0.249
TACC1	-0.17	0.249
LINC00924	-0.22	0.249
OR3A3	-0.02	0.249
TAGLN2	0.14	0.249
GOLGA6L1	0.13	0.249
CDKL4	0.14	0.249
TSHR	-0.17	0.25
TMEM88B	0.2	0.25
SPAG9	-0.08	0.25
OSBPL5	-0.2	0.25
SPINK2	-0.08	0.25
CSTA	-0.35	0.25
LINC00589	-0.1	0.25
TJP3	-0.36	0.25
TPM3P9	0.22	0.25
DLGAP4	0.09	0.25
GPN2	-0.09	0.25
HDHD5	0.09	0.25
HAVCR2	0.22	0.25
NLGN4X	-0.38	0.25
TRIM42	0.09	0.25
VTA1	0.1	0.25
MBNL1-AS1	-0.17	0.25
OR2G6	0.05	0.25
AKR1B15	0.55	0.25
CBLN2	0.26	0.251
POLR2J4	-0.09	0.251
ZNF333	-0.1	0.251
RNF38	0.11	0.251
CORO6	-0.19	0.251
ALDH7A1	-0.15	0.251
MTMR9	0.13	0.251
C5ORF63	0.25	0.251
HIKESHI	0.1	0.251
UFC1	0.1	0.251
ITGAM	0.27	0.251
ZNF471	-0.34	0.251
MED9	-0.1	0.251
CRABP1	-0.14	0.251
SPRY1	-0.17	0.251
BCKDHA	-0.11	0.251
TWF1	-0.08	0.251
GNA13	0.09	0.251
EFHC1	-0.15	0.251
PRRT3	-0.13	0.251
DIAPH1	0.1	0.251
PTMS	-0.15	0.251
MACROD2	-0.25	0.252
SNPH	-0.21	0.252
GTF2H4	0.07	0.252
DNAI7	0.16	0.252
BCDIN3D-AS1	0.13	0.252
SIT1	0.27	0.252
F10	-0.28	0.252
C2CD6	-0.18	0.253
CLEC18A	-0.18	0.253
PDE1A	-0.32	0.253
ABTB2	-0.16	0.253
PPT2	0.17	0.253
SLC43A2	0.18	0.253
RAB38	0.28	0.253
FAM153B	0.27	0.253
UNG	0.09	0.253
LRRFIP2	0.08	0.253
MARS1	0.08	0.253
ERICH4	0.27	0.253
MPPED1	-0.45	0.253
SH3BGRL2	0.15	0.253
AMPD3	0.21	0.253
OR5B2	0.04	0.253
GAN	0.13	0.253
PIGY	0.08	0.253
CCDC130	-0.09	0.253
ACER3	-0.11	0.253
LINC01144	-0.18	0.253
TAS2R5	0.19	0.254
C19ORF33	0.5	0.254
NLRP14	-0.18	0.254
SLC12A8	0.2	0.254
CTC1	-0.11	0.254
OR10C1	0.02	0.254
OR2H2	0.12	0.254
GALR3	-0.21	0.254
TTLL3	-0.16	0.254
GSPT1	0.08	0.254
CENPB	-0.07	0.254
RNF167	-0.07	0.254
FAM226B	0.12	0.254
GFRAL	0.06	0.254
RIN2	-0.18	0.254
LRP1B	-0.36	0.254
RFX1	-0.07	0.254
PTPRO	0.24	0.254
NUP62CL	0.25	0.254
NUDT21	0.08	0.255
ZPBP	-0.02	0.255
TUBBP6	0.11	0.255
BTBD9	-0.11	0.255
TK2	-0.1	0.255
ZNF280B	0.29	0.255
BEX3	0.29	0.255
PSMB8	-0.17	0.255
ITIH4	-0.3	0.255
ATXN1	-0.13	0.255
GUSBP1	-0.11	0.255
FAM177B	-0.18	0.255
SCD5	-0.31	0.255
DYNLL1	0.08	0.255
KRT72	-0.1	0.255
DOK6	-0.34	0.255
USP10	0.07	0.255
HOXD3	-0.22	0.255
FGD1	-0.21	0.255
KRTAP20-4	0.08	0.255
CCDC8	-0.33	0.255
HSPA14	0.08	0.255
RPS27L	-0.12	0.255
MFNG	0.13	0.255
NCOA4	0.11	0.256
PRY2	-0.12	0.256
MRPL36	0.09	0.256
KRTAP4-8	0.03	0.256
RDH11	-0.12	0.256
ZC3H12C	0.12	0.256
SORT1	-0.2	0.256
EPHB1	-0.22	0.256
CACHD1	-0.24	0.256
RIMS3	0.21	0.256
NRROS	0.15	0.256
MRPS5	0.08	0.256
REXO5	-0.16	0.256
EMSY	-0.12	0.256
PRR14	-0.07	0.256
OTP	0.16	0.257
CIAPIN1	0.09	0.257
RBMX2	0.1	0.257
LINC01001	0.22	0.257
MS4A6E	0.12	0.257
KCTD17	0.3	0.257
FAU	0.09	0.257
ZNF740	0.09	0.257
S100A2	0.3	0.257
PDZD11	-0.09	0.257
TAPBPL	-0.15	0.257
SYTL2	-0.21	0.257
MBOAT2	-0.27	0.257
SIGLEC16	0.18	0.257
ZNHIT3	0.09	0.257
SNAI3	-0.18	0.257
SOCS3	0.28	0.257
